mission_id,mission_type,weather_profile,timestamp,elapsed_min,mission_phase,altitude_ft,OAT_C,pressure_hPa,air_density_kg_m3,relative_humidity_pct,wind_speed_kt,wind_relative_angle_deg
1,Border_Recon,Maritime_Humid,2026-01-02 00:00:00,0,Taxi,42.9,18.9,1012.09,1.2011,62.7,17.0,180.7
1,Border_Recon,Maritime_Humid,2026-01-02 00:01:00,1,Takeoff,3.8,18.97,1012.04,1.2005,65.4,15.1,291.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:02:00,2,Takeoff,10.1,21.06,1012.84,1.1921,64.3,13.1,83.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:03:00,3,Climb,3.5,19.41,1012.8,1.1994,65.5,11.9,245.4
1,Border_Recon,Maritime_Humid,2026-01-02 00:04:00,4,Climb,459.6,18.4,996.42,1.1843,66.6,15.0,40.4
1,Border_Recon,Maritime_Humid,2026-01-02 00:05:00,5,Climb,960.6,17.06,978.48,1.1689,64.9,15.4,355.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:06:00,6,Climb,1485.7,17.09,959.34,1.1457,66.0,16.5,89.9
1,Border_Recon,Maritime_Humid,2026-01-02 00:07:00,7,Climb,1950.3,17.08,943.43,1.1266,65.8,15.9,3.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:08:00,8,Climb,2517.5,15.83,923.59,1.1081,64.2,12.8,186.9
1,Border_Recon,Maritime_Humid,2026-01-02 00:09:00,9,Climb,2912.3,15.09,911.03,1.0961,63.9,17.0,173.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:10:00,10,Climb,3403.8,13.3,894.24,1.0831,63.7,14.6,305.0
1,Border_Recon,Maritime_Humid,2026-01-02 00:11:00,11,Climb,3939.5,12.17,877.3,1.067,64.0,11.2,55.3
1,Border_Recon,Maritime_Humid,2026-01-02 00:12:00,12,Climb,4420.3,11.45,862.77,1.0521,63.9,15.4,31.3
1,Border_Recon,Maritime_Humid,2026-01-02 00:13:00,13,Climb,4919.8,9.89,844.17,1.0354,64.1,17.1,49.0
1,Border_Recon,Maritime_Humid,2026-01-02 00:14:00,14,Climb,5341.5,8.93,833.17,1.0256,63.8,16.4,143.0
1,Border_Recon,Maritime_Humid,2026-01-02 00:15:00,15,Climb,5864.9,8.34,816.91,1.0078,63.6,19.2,145.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:16:00,16,Climb,6283.1,7.95,802.29,0.9911,63.0,13.0,210.9
1,Border_Recon,Maritime_Humid,2026-01-02 00:17:00,17,Climb,6799.9,5.78,788.8,0.9826,60.2,13.7,313.7
1,Border_Recon,Maritime_Humid,2026-01-02 00:18:00,18,Climb,7274.2,4.94,774.08,0.9673,59.0,18.5,72.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:19:00,19,Climb,7802.0,3.74,758.35,0.9518,60.4,11.2,310.0
1,Border_Recon,Maritime_Humid,2026-01-02 00:20:00,20,Climb,8318.0,4.09,743.26,0.9316,60.1,20.0,291.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:21:00,21,Climb,8750.6,2.16,732.02,0.9242,60.0,19.0,7.7
1,Border_Recon,Maritime_Humid,2026-01-02 00:22:00,22,Climb,9241.7,1.4,719.89,0.9115,59.8,19.6,54.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:23:00,23,Climb,9769.7,1.12,703.57,0.8918,60.0,14.0,346.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:24:00,24,Climb,10192.9,0.01,691.56,0.8802,59.5,22.8,332.2
1,Border_Recon,Maritime_Humid,2026-01-02 00:25:00,25,Climb,10756.5,-0.91,676.45,0.864,59.3,25.8,6.7
1,Border_Recon,Maritime_Humid,2026-01-02 00:26:00,26,Climb,11118.4,-2.19,667.92,0.8572,59.8,18.4,294.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:27:00,27,Cruise_Loiter,11144.9,-2.49,665.76,0.8554,60.3,20.5,137.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:28:00,28,Cruise_Loiter,11146.1,-1.65,666.93,0.8542,60.9,22.4,252.4
1,Border_Recon,Maritime_Humid,2026-01-02 00:29:00,29,Cruise_Loiter,11141.8,-1.94,667.06,0.8553,61.7,19.7,24.4
1,Border_Recon,Maritime_Humid,2026-01-02 00:30:00,30,Cruise_Loiter,11131.1,-2.04,666.59,0.855,62.2,18.4,262.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:31:00,31,Cruise_Loiter,11109.6,-1.31,667.66,0.8539,63.0,18.3,246.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:32:00,32,Cruise_Loiter,11062.5,-1.91,668.94,0.8575,63.1,16.4,188.7
1,Border_Recon,Maritime_Humid,2026-01-02 00:33:00,33,Cruise_Loiter,11041.4,-0.92,669.12,0.8544,65.3,17.2,151.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:34:00,34,Cruise_Loiter,11053.8,-1.74,668.05,0.8557,65.9,22.9,283.9
1,Border_Recon,Maritime_Humid,2026-01-02 00:35:00,35,Cruise_Loiter,11064.9,-2.84,668.77,0.8603,66.5,20.6,1.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:36:00,36,Cruise_Loiter,11111.3,-2.52,666.77,0.8566,66.7,14.6,7.0
1,Border_Recon,Maritime_Humid,2026-01-02 00:37:00,37,Cruise_Loiter,11129.9,-1.9,667.32,0.8553,67.4,20.7,286.3
1,Border_Recon,Maritime_Humid,2026-01-02 00:38:00,38,Cruise_Loiter,11171.5,-2.99,666.68,0.8581,67.2,18.1,152.3
1,Border_Recon,Maritime_Humid,2026-01-02 00:39:00,39,Cruise_Loiter,11152.9,-3.6,667.05,0.8606,66.9,21.4,217.4
1,Border_Recon,Maritime_Humid,2026-01-02 00:40:00,40,Cruise_Loiter,11131.0,-2.86,667.34,0.8585,67.5,19.9,223.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:41:00,41,Cruise_Loiter,11127.5,-2.74,666.72,0.8573,66.8,18.2,155.9
1,Border_Recon,Maritime_Humid,2026-01-02 00:42:00,42,Cruise_Loiter,11139.8,-2.55,666.23,0.8561,66.7,23.2,253.7
1,Border_Recon,Maritime_Humid,2026-01-02 00:43:00,43,Cruise_Loiter,11133.9,-3.5,665.45,0.8582,67.9,14.6,161.0
1,Border_Recon,Maritime_Humid,2026-01-02 00:44:00,44,Cruise_Loiter,11128.1,-1.78,666.94,0.8544,68.5,23.7,184.9
1,Border_Recon,Maritime_Humid,2026-01-02 00:45:00,45,Cruise_Loiter,11153.6,-1.87,666.58,0.8542,69.0,26.4,303.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:46:00,46,Cruise_Loiter,11143.7,-2.57,664.49,0.8539,67.9,19.1,221.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:47:00,47,Cruise_Loiter,11183.4,-1.7,665.61,0.8525,67.4,26.9,356.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:48:00,48,Cruise_Loiter,11202.8,-2.88,665.51,0.8562,68.4,20.3,4.5
1,Border_Recon,Maritime_Humid,2026-01-02 00:49:00,49,Cruise_Loiter,11218.0,-3.45,664.14,0.8563,67.7,17.1,47.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:50:00,50,Cruise_Loiter,11198.7,-2.14,664.48,0.8523,70.8,16.3,260.1
1,Border_Recon,Maritime_Humid,2026-01-02 00:51:00,51,Cruise_Loiter,11211.5,-3.15,664.39,0.8556,70.0,21.8,320.8
1,Border_Recon,Maritime_Humid,2026-01-02 00:52:00,52,Cruise_Loiter,11219.1,-3.12,663.71,0.8546,68.6,21.9,349.1
