mission_id,timestamp,elapsed_min,mission_phase,RPM,MAP_hPa,m_dot_a_kg_s,m_dot_f_kg_s,m_dot_f_bank1_kg_s,m_dot_f_bank2_kg_s,Q_fuel_L_s,AFR_actual,phi_equivalence_ratio,EGT_avg_C,EGT_cyl1_C,EGT_cyl2_C,EGT_cyl3_C,EGT_cyl4_C,Delta_EGT_cross_C,CHT_C,Delta_CHT_ambient_C,Oil_Temp_C,Oil_Pressure_bar,Oil_Viscosity_Pa_s,Ratio_Lube,H_lube,Vib_f0_Hz,Vib_fcam_Hz,Vib_ffire_Hz,Vib_fgear_Hz,Vib_Amp_Total_g,Vib_Amp_f0_g,Vib_Amp_fcam_g,Vib_Amp_ffire_g,Health_Index,injected_fault_type,Rate_of_Rise_CHT_C_per_min,RPM_instability_std
1,2026-01-02 00:00:00,0,Taxi,1805.2,387.57,0.00706,0.000523,0.000262,0.000262,0.00073,13.5,1.089,663.1,660.4,664.8,663.6,663.4,4.4,31.28,12.38,50.0,6.144,0.15,4095903.4,4095903.4,30.09,15.04,60.17,1293.7,0.275,0.084,0.064,0.126,1.0,none,0.0,15.0
1,2026-01-02 00:01:00,1,Takeoff,5855.3,1013.25,0.05625,0.0045,0.00225,0.00225,0.00628,12.5,1.176,762.0,760.7,758.1,768.1,761.1,10.0,95.81,76.84,52.85,6.2,0.124029,4998825.8,4998825.8,97.59,48.79,195.18,4196.33,1.048,0.368,0.166,0.91,1.0,none,64.53,2863.85
1,2026-01-02 00:02:00,2,Takeoff,5791.0,1013.25,0.05368,0.004295,0.002147,0.002147,0.00601,12.5,1.176,762.0,768.4,758.6,761.7,759.2,9.8,110.66,89.6,56.11,6.2,0.101242,6123955.22,6123955.22,96.52,48.26,193.03,4150.2,1.015,0.32,0.168,0.899,1.0,none,14.85,2319.99
1,2026-01-02 00:03:00,3,Climb,5523.3,914.46,0.04655,0.003637,0.001818,0.001818,0.00508,12.8,1.148,753.3,747.5,750.4,753.7,761.6,14.1,103.52,84.11,58.85,6.2,0.086357,7179459.54,7179459.54,92.06,46.03,184.11,3958.37,0.95,0.332,0.125,0.834,1.0,none,-7.14,1964.27
1,2026-01-02 00:04:00,4,Climb,5509.9,914.46,0.04671,0.003649,0.001825,0.001825,0.00509,12.8,1.148,753.3,751.9,742.2,766.2,752.8,24.0,98.0,79.6,61.17,6.2,0.076007,8157185.75,8157185.75,91.83,45.92,183.66,3948.75,0.906,0.322,0.128,0.781,1.0,none,-5.52,1735.27
1,2026-01-02 00:05:00,5,Climb,5501.7,914.46,0.04693,0.003666,0.001833,0.001833,0.0051,12.8,1.148,753.3,746.6,753.6,746.9,766.1,19.5,96.33,79.27,63.24,6.2,0.068198,9091227.14,9091227.14,91.7,45.85,183.39,3942.89,0.899,0.329,0.135,0.773,1.0,none,-1.67,172.31
1,2026-01-02 00:06:00,6,Climb,5475.4,914.46,0.04674,0.003651,0.001826,0.001826,0.00508,12.8,1.148,753.3,749.0,766.8,751.3,746.1,20.7,95.69,78.6,65.14,6.2,0.061958,10006731.54,10006731.54,91.26,45.63,182.51,3924.04,0.94,0.332,0.161,0.811,1.0,none,-0.64,130.17
1,2026-01-02 00:07:00,7,Climb,5502.8,914.46,0.04699,0.003671,0.001835,0.001835,0.00511,12.8,1.148,753.3,751.6,758.7,756.2,746.6,12.1,97.52,80.44,66.99,6.2,0.056658,10942894.33,10942894.33,91.71,45.86,183.43,3943.68,0.924,0.31,0.144,0.802,1.0,none,1.83,17.48
1,2026-01-02 00:08:00,8,Climb,5512.5,914.46,0.04719,0.003686,0.001843,0.001843,0.00512,12.8,1.148,753.3,758.1,754.9,745.9,754.2,12.2,101.79,85.96,68.83,6.2,0.051988,11925808.37,11925808.37,91.88,45.94,183.75,3950.63,0.941,0.356,0.14,0.802,1.0,none,4.27,14.74
1,2026-01-02 00:09:00,9,Climb,5555.7,914.46,0.04755,0.003715,0.001858,0.001858,0.00516,12.8,1.148,753.3,758.3,749.6,754.1,751.2,8.7,98.76,83.67,70.42,6.111,0.048395,12627699.43,12627699.43,92.6,46.3,185.19,3981.59,0.928,0.317,0.152,0.795,1.0,none,-3.03,29.21
1,2026-01-02 00:10:00,10,Climb,5521.8,914.46,0.04756,0.003715,0.001858,0.001858,0.00515,12.8,1.148,753.3,760.3,740.3,757.0,755.6,20.0,100.17,86.87,71.89,5.796,0.045359,12776978.81,12776978.81,92.03,46.01,184.06,3957.28,0.947,0.301,0.134,0.832,1.0,none,1.41,29.23
1,2026-01-02 00:11:00,11,Climb,5523.7,914.46,0.04769,0.003726,0.001863,0.001863,0.00516,12.8,1.148,753.3,751.4,753.8,756.6,751.3,5.3,104.84,92.67,73.41,5.528,0.04252,13001094.48,13001094.48,92.06,46.03,184.12,3958.67,0.984,0.335,0.129,0.865,1.0,none,4.67,19.93
1,2026-01-02 00:12:00,12,Climb,5497.6,914.46,0.04745,0.003707,0.001853,0.001853,0.00513,12.8,1.148,753.3,755.5,743.8,750.3,763.6,19.8,101.45,90.0,74.68,5.303,0.040338,13147136.86,13147136.86,91.63,45.81,183.25,3939.93,0.91,0.344,0.138,0.769,1.0,none,-3.39,21.35
1,2026-01-02 00:13:00,13,Climb,5441.6,914.46,0.04724,0.003691,0.001845,0.001845,0.0051,12.8,1.148,753.3,747.4,752.3,760.7,752.6,13.3,98.06,88.17,75.69,5.113,0.038709,13207596.9,13207596.9,90.69,45.35,181.39,3899.84,0.881,0.349,0.137,0.739,1.0,none,-3.39,42.51
1,2026-01-02 00:14:00,14,Climb,5500.5,914.46,0.04795,0.003746,0.001873,0.001873,0.00517,12.8,1.148,753.3,755.5,757.4,741.3,758.9,17.6,98.67,89.74,76.63,5.017,0.037284,13456728.53,13456728.53,91.68,45.84,183.35,3942.03,0.957,0.329,0.148,0.833,1.0,none,0.61,33.2
1,2026-01-02 00:15:00,15,Climb,5522.6,914.46,0.04821,0.003766,0.001883,0.001883,0.00519,12.8,1.148,753.3,755.5,744.1,756.3,757.1,13.1,96.7,88.36,77.42,4.924,0.036148,13621024.94,13621024.94,92.04,46.02,184.09,3957.86,0.888,0.328,0.141,0.755,1.0,none,-1.97,33.35
1,2026-01-02 00:16:00,16,Climb,5493.8,914.46,0.04805,0.003754,0.001877,0.001877,0.00517,12.8,1.148,753.3,751.5,755.2,756.7,749.8,6.9,103.46,95.51,78.39,4.78,0.034816,13730425.74,13730425.74,91.56,45.78,183.13,3937.21,0.916,0.329,0.146,0.784,1.0,none,6.76,29.92
1,2026-01-02 00:17:00,17,Climb,5500.5,914.46,0.04824,0.003769,0.001884,0.001884,0.00518,12.8,1.148,753.3,746.2,748.1,768.7,750.0,22.5,104.61,98.83,79.27,4.676,0.033666,13889191.35,13889191.35,91.68,45.84,183.35,3942.05,0.943,0.338,0.144,0.805,1.0,none,1.15,30.1
1,2026-01-02 00:18:00,18,Climb,5485.4,914.46,0.04819,0.003765,0.001882,0.001882,0.00517,12.8,1.148,753.3,745.1,752.5,755.9,759.7,14.6,99.68,94.74,79.89,4.594,0.032893,13967777.97,13967777.97,91.42,45.71,182.85,3931.19,0.911,0.338,0.151,0.775,1.0,none,-4.93,13.8
1,2026-01-02 00:19:00,19,Climb,5515.0,914.46,0.04873,0.003807,0.001903,0.001903,0.00522,12.8,1.148,753.3,754.4,751.2,756.4,751.2,5.2,107.25,103.51,80.71,4.518,0.031911,14159070.86,14159070.86,91.92,45.96,183.83,3952.43,0.929,0.329,0.146,0.804,1.0,none,7.57,15.23
1,2026-01-02 00:20:00,20,Climb,5514.5,914.46,0.0485,0.003789,0.001894,0.001894,0.0052,12.8,1.148,753.3,752.7,757.3,753.2,750.0,7.3,101.13,97.04,81.26,4.458,0.031274,14253825.73,14253825.73,91.91,45.95,183.82,3952.04,0.961,0.32,0.147,0.838,1.0,none,-6.12,12.94
1,2026-01-02 00:21:00,21,Climb,5494.4,914.46,0.04872,0.003806,0.001903,0.001903,0.00521,12.8,1.148,753.3,754.4,753.4,750.5,754.8,4.2,99.75,97.59,81.67,4.404,0.030817,14290437.68,14290437.68,91.57,45.79,183.15,3937.65,0.951,0.357,0.141,0.809,1.0,none,-1.38,12.85
1,2026-01-02 00:22:00,22,Climb,5491.9,914.46,0.04883,0.003815,0.001908,0.001908,0.00522,12.8,1.148,753.3,754.6,757.0,748.2,753.4,8.8,99.12,97.72,82.0,4.368,0.03045,14344793.48,14344793.48,91.53,45.77,183.06,3935.84,0.93,0.309,0.15,0.81,1.0,none,-0.63,13.65
1,2026-01-02 00:23:00,23,Climb,5479.9,914.46,0.04878,0.003811,0.001905,0.001905,0.00521,12.8,1.148,753.3,744.7,754.4,767.0,747.0,22.2,106.09,104.97,82.55,4.305,0.029849,14423502.34,14423502.34,91.33,45.67,182.66,3927.25,0.962,0.346,0.141,0.836,1.0,none,6.97,15.27
1,2026-01-02 00:24:00,24,Climb,5471.0,914.46,0.04869,0.003804,0.001902,0.001902,0.00519,12.8,1.148,753.3,746.8,754.3,759.0,753.2,12.2,98.92,98.91,82.78,4.278,0.029612,14448390.09,14448390.09,91.18,45.59,182.37,3920.87,0.914,0.31,0.138,0.801,1.0,none,-7.17,16.47
1,2026-01-02 00:25:00,25,Climb,5451.4,914.46,0.04881,0.003813,0.001906,0.001906,0.0052,12.8,1.148,753.3,754.4,760.2,754.6,744.0,16.1,94.03,94.94,82.78,4.268,0.02961,14415122.62,14415122.62,90.86,45.43,181.71,3906.84,0.873,0.314,0.154,0.747,1.0,none,-4.89,17.48
