mission_id,timestamp,elapsed_min,mission_phase,RPM,MAP_hPa,m_dot_a_kg_s,m_dot_f_kg_s,Q_fuel_L_s,AFR_actual,phi_equivalence_ratio,EGT_avg_C,EGT_cyl1_C,EGT_cyl2_C,EGT_cyl3_C,EGT_cyl4_C,Delta_EGT_cross_C,CHT_C,Delta_CHT_ambient_C,Oil_Temp_C,Oil_Pressure_bar,Oil_Viscosity_Pa_s,Ratio_Lube,Vib_f0_Hz,Vib_fcam_Hz,Vib_ffire_Hz,Vib_fgear_Hz,Health_Index,injected_fault_type,Rate_of_Rise_CHT_C_per_min,Delta_EGT_cross_roll3,P_oil_expected_bar,P_oil_residual_ratio,Health_Index_deficit,Physics_Rule_Active,Physics_Fault_Type,Physics_Diagnostic_Msg,AE_Recon_Error,AE_Anomaly_Alert,AE_Top_Sensor,Anomaly_Detected,Classified_Fault_Type
1,2026-01-02 00:00:00,0,Taxi,1806.2,387.57,0.00713,0.000528,0.00074,13.5,1.089,663.1,669.7,658.5,665.8,658.2,11.5,31.37,12.47,50.0,6.146,0.149997,4097690.98,30.1,15.05,60.21,1294.44,1.0,none,0.0,11.5,6.146,1.0,0.0,False,none,,0.01568,False,Delta_EGT_cross_roll3,False,none
1,2026-01-02 00:01:00,1,Takeoff,5752.5,1013.25,0.05493,0.004395,0.00613,12.5,1.176,762.0,753.7,753.4,775.7,765.2,22.3,94.09,75.12,52.79,6.2,0.124534,4978575.31,95.87,47.94,191.75,4122.6,1.0,none,62.72,16.9,6.2,1.0,0.0,False,none,,0.04794,True,Delta_CHT_ambient_C,True,cooling_degradation
1,2026-01-02 00:02:00,2,Takeoff,5845.1,1013.25,0.05545,0.004436,0.0062,12.5,1.176,762.0,765.1,769.8,758.4,754.7,15.1,112.56,91.5,56.13,6.2,0.101175,6127984.9,97.42,48.71,194.84,4189.0,1.0,none,18.47,16.3,6.2,1.0,0.0,False,none,,0.01271,False,P_oil_residual_ratio,False,none
1,2026-01-02 00:03:00,3,Climb,5528.1,914.46,0.04815,0.003762,0.00525,12.8,1.148,753.3,751.2,744.7,763.7,753.5,18.9,106.08,86.67,58.96,6.2,0.085852,7221721.38,92.14,46.07,184.27,3961.83,1.0,none,-6.48,18.77,6.2,1.0,0.0,False,none,,0.01636,False,Delta_EGT_cross_roll3,False,none
1,2026-01-02 00:04:00,4,Climb,5466.4,914.46,0.04776,0.003731,0.0052,12.8,1.148,753.3,759.7,749.9,753.0,750.5,9.8,99.94,81.54,61.34,6.2,0.075325,8231043.39,91.11,45.55,182.21,3917.56,1.0,none,-6.14,14.6,6.2,1.0,0.0,False,none,,0.00738,False,Delta_EGT_cross_roll3,False,none
1,2026-01-02 00:05:00,5,Climb,5528.0,914.46,0.04851,0.00379,0.00527,12.8,1.148,753.3,750.6,758.5,750.7,753.4,7.8,98.82,81.76,63.49,6.2,0.067336,9207589.99,92.13,46.07,184.27,3961.71,1.0,none,-1.12,12.17,6.2,1.0,0.0,False,none,,0.00437,False,RPM,False,none
1,2026-01-02 00:06:00,6,Climb,5473.7,914.46,0.04803,0.003752,0.00522,12.8,1.148,753.3,751.7,761.2,753.3,746.9,14.3,97.93,80.84,65.46,6.2,0.061008,10162530.8,91.23,45.61,182.46,3922.82,1.0,none,-0.89,10.63,6.2,1.0,0.0,False,none,,0.00416,False,Oil_Temp_C,False,none
1,2026-01-02 00:07:00,7,Climb,5458.0,914.46,0.04789,0.003742,0.00521,12.8,1.148,753.3,753.1,744.5,762.0,753.5,17.5,99.25,82.17,67.35,6.2,0.055708,11129401.57,90.97,45.48,181.93,3911.54,1.0,none,1.32,13.2,6.2,1.0,0.0,False,none,,0.00925,False,Delta_CHT_ambient_C,False,none
1,2026-01-02 00:08:00,8,Climb,5569.8,914.46,0.04907,0.003834,0.00533,12.8,1.148,753.3,754.7,754.0,752.3,752.1,2.5,104.75,88.92,69.27,6.2,0.050951,12168622.16,92.83,46.42,185.66,3991.71,1.0,none,5.5,11.43,6.2,1.0,0.0,False,none,,0.01213,False,Oil_Pressure_bar,False,none
1,2026-01-02 00:09:00,9,Climb,5456.1,914.46,0.04818,0.003764,0.00523,12.8,1.148,753.3,746.6,753.6,746.9,766.1,19.5,100.34,85.25,70.89,5.935,0.047399,12521970.63,90.93,45.47,181.87,3910.2,1.0,none,-4.41,13.17,5.935,1.0,0.0,False,none,,0.00476,False,Ratio_Lube,False,none
