t,throttle,altitude_m,airspeed_mps,t_ambient_c,rpm,cht_1,cht_2,cht_3,cht_4,egt_1,egt_2,egt_3,egt_4,oil_temp_c,oil_pressure_bar,ratio_lube,fuel_flow_kg_s,alternator_v,vib_rms_g
0.0,0.15,0.0,15.0,15.0,1400.0,55.0,55.0,55.0,55.0,842.5,842.5,842.5,842.5,35.0,3.86,2929598.877,0.00018,14.2,0.099
1.0,0.15,20.0,15.2,14.9,1429.0,54.5,54.5,54.5,54.5,842.4,842.4,842.4,842.4,35.0,3.94,2990324.494,0.00019,14.2,0.099
2.0,0.15,40.0,15.3,14.7,1455.7,54.0,54.0,54.0,54.0,842.3,842.3,842.3,842.3,35.0,4.01,3046209.94,0.00019,14.2,0.099
3.0,0.15,60.0,15.5,14.6,1480.3,53.6,53.6,53.6,53.6,842.2,842.2,842.2,842.2,35.0,4.08,3097541.958,0.00019,14.2,0.099
4.0,0.15,80.0,15.7,14.5,1502.7,53.1,53.1,53.1,53.1,842.0,842.0,842.0,842.0,35.0,4.15,3144602.916,0.0002,14.2,0.099
5.0,0.15,100.0,15.8,14.4,1523.3,52.6,52.6,52.6,52.6,841.9,841.9,841.9,841.9,35.0,4.2,3187668.427,0.0002,14.2,0.099
6.0,0.15,120.0,16.0,14.2,1542.1,52.2,52.2,52.2,52.2,841.8,841.8,841.8,841.8,35.0,4.25,3227005.463,0.0002,14.2,0.099
7.0,0.15,140.0,16.2,14.1,1559.3,51.7,51.7,51.7,51.7,841.6,841.6,841.6,841.6,35.0,4.3,3262870.911,0.0002,14.2,0.099
8.0,0.15,160.0,16.3,14.0,1574.9,51.3,51.3,51.3,51.3,841.5,841.5,841.5,841.5,35.0,4.34,3295510.52,0.0002,14.2,0.099
9.0,0.15,180.0,16.5,13.8,1589.0,50.8,50.8,50.8,50.8,841.4,841.4,841.4,841.4,35.0,4.38,3325158.178,0.0002,14.2,0.099
10.0,0.15,200.0,16.7,13.7,1601.9,50.4,50.4,50.4,50.4,841.2,841.2,841.2,841.2,35.0,4.42,3352035.476,0.00021,14.2,0.099
11.0,0.15,220.0,16.8,13.6,1613.5,49.9,49.9,49.9,49.9,841.1,841.1,841.1,841.1,35.0,4.45,3376351.511,0.00021,14.2,0.099
12.0,0.15,240.0,17.0,13.4,1624.0,49.5,49.5,49.5,49.5,841.0,841.0,841.0,841.0,35.0,4.48,3398302.881,0.00021,14.2,0.099
13.0,0.15,260.0,17.2,13.3,1633.4,49.1,49.1,49.1,49.1,840.9,840.9,840.9,840.9,35.0,4.5,3418073.845,0.00021,14.2,0.099
14.0,0.15,280.0,17.3,13.2,1641.9,48.6,48.6,48.6,48.6,840.7,840.7,840.7,840.7,35.0,4.53,3435836.597,0.00021,14.2,0.099
15.0,0.15,300.0,17.5,13.1,1649.5,48.2,48.2,48.2,48.2,840.6,840.6,840.6,840.6,35.0,4.55,3451751.649,0.00021,14.2,0.099
16.0,0.15,320.0,17.7,12.9,1656.3,47.8,47.8,47.8,47.8,840.5,840.5,840.5,840.5,35.0,4.56,3465968.277,0.00021,14.2,0.099
17.0,0.15,340.0,17.8,12.8,1662.4,47.4,47.4,47.4,47.4,840.3,840.3,840.3,840.3,35.0,4.58,3478625.023,0.00021,14.2,0.099
18.0,0.15,360.0,18.0,12.7,1667.7,46.9,46.9,46.9,46.9,840.2,840.2,840.2,840.2,35.0,4.6,3489850.225,0.00021,14.2,0.099
19.0,0.15,380.0,18.2,12.5,1672.5,46.5,46.5,46.5,46.5,840.1,840.1,840.1,840.1,35.0,4.61,3499762.574,0.00021,14.2,0.099
20.0,0.15,400.0,18.3,12.4,1676.6,46.1,46.1,46.1,46.1,839.9,839.9,839.9,839.9,35.0,4.62,3508471.673,0.00021,14.2,0.099
21.0,0.15,420.0,18.5,12.3,1680.3,45.7,45.7,45.7,45.7,839.8,839.8,839.8,839.8,35.0,4.63,3516078.596,0.00021,14.2,0.099
22.0,0.15,440.0,18.7,12.1,1683.4,45.3,45.3,45.3,45.3,839.7,839.7,839.7,839.7,35.0,4.64,3522676.441,0.00021,14.2,0.099
23.0,0.15,460.0,18.8,12.0,1686.1,44.9,44.9,44.9,44.9,839.6,839.6,839.6,839.6,35.0,4.65,3528350.861,0.00021,14.2,0.099
24.0,0.15,480.0,19.0,11.9,1688.4,44.5,44.5,44.5,44.5,839.4,839.4,839.4,839.4,35.0,4.66,3533180.589,0.00021,14.2,0.099
25.0,0.15,500.0,19.2,11.8,1690.4,44.1,44.1,44.1,44.1,839.3,839.3,839.3,839.3,35.0,4.66,3537237.927,0.00021,14.2,0.099
26.0,0.15,520.0,19.3,11.6,1692.0,43.7,43.7,43.7,43.7,839.2,839.2,839.2,839.2,35.0,4.67,3540589.223,0.00021,14.2,0.099
27.0,0.15,540.0,19.5,11.5,1693.3,43.3,43.3,43.3,43.3,839.0,839.0,839.0,839.0,35.0,4.68,3543295.314,0.00021,14.2,0.099
28.0,0.15,560.0,19.7,11.4,1694.3,42.9,42.9,42.9,42.9,838.9,838.9,838.9,838.9,34.9,4.68,3545411.955,0.00021,14.2,0.099
29.0,0.15,580.0,19.8,11.2,1695.0,42.5,42.5,42.5,42.5,838.8,838.8,838.8,838.8,34.9,4.69,3546990.205,0.00021,14.2,0.099
30.0,0.15,600.0,20.0,11.1,1695.5,42.2,42.2,42.2,42.2,838.6,838.6,838.6,838.6,34.9,4.69,3548037.955,0.00021,14.2,0.099
31.0,0.159,620.0,20.2,11.0,1697.3,41.8,41.8,41.8,41.8,839.2,839.2,839.2,839.2,34.9,4.7,3551696.935,0.00022,14.2,0.099
32.0,0.169,640.0,20.3,10.8,1701.6,41.4,41.4,41.4,41.4,839.7,839.7,839.7,839.7,34.9,4.71,3560778.603,0.00022,14.2,0.099
33.0,0.178,660.0,20.5,10.7,1708.4,41.1,41.1,41.1,41.1,840.2,840.2,840.2,840.2,34.9,4.74,3574853.417,0.00023,14.2,0.099
34.0,0.188,680.0,20.7,10.6,1717.3,40.7,40.7,40.7,40.7,840.7,840.7,840.7,840.7,34.9,4.76,3593557.482,0.00024,14.2,0.099
35.0,0.197,700.0,20.8,10.4,1728.3,40.4,40.4,40.4,40.4,841.2,841.2,841.2,841.2,34.8,4.8,3616552.889,0.00025,14.2,0.099
36.0,0.207,720.0,21.0,10.3,1741.2,40.1,40.1,40.1,40.1,841.7,841.7,841.7,841.7,34.8,4.84,3643524.658,0.00025,14.2,0.099
37.0,0.216,740.0,21.2,10.2,1755.8,39.7,39.7,39.7,39.7,842.2,842.2,842.2,842.2,34.8,4.88,3674178.212,0.00026,14.2,0.099
38.0,0.226,760.0,21.3,10.1,1772.1,39.4,39.4,39.4,39.4,842.7,842.7,842.7,842.7,34.8,4.93,3708237.306,0.00027,14.2,0.099
39.0,0.235,780.0,21.5,9.9,1789.9,39.2,39.2,39.2,39.2,843.2,843.2,843.2,843.2,34.8,4.98,3745442.308,0.00028,14.2,0.099
40.0,0.244,800.0,21.7,9.8,1809.0,38.9,38.9,38.9,38.9,843.7,843.7,843.7,843.7,34.8,5.03,3785548.791,0.00029,14.2,0.099
41.0,0.254,820.0,21.8,9.7,1829.5,38.6,38.6,38.6,38.6,844.2,844.2,844.2,844.2,34.8,5.09,3828326.37,0.0003,14.2,0.099
42.0,0.263,840.0,22.0,9.5,1851.1,38.4,38.4,38.4,38.4,844.7,844.7,844.7,844.7,34.8,5.15,3873557.739,0.00032,14.2,0.099
43.0,0.273,860.0,22.2,9.4,1873.8,38.1,38.1,38.1,38.1,845.2,845.2,845.2,845.2,34.8,5.22,3921037.875,0.00033,14.2,0.099
44.0,0.282,880.0,22.3,9.3,1897.5,37.9,37.9,37.9,37.9,845.6,845.6,845.6,845.6,34.8,5.28,3970573.372,0.00034,14.2,0.099
45.0,0.292,900.0,22.5,9.1,1922.0,37.7,37.7,37.7,37.7,846.1,846.1,846.1,846.1,34.8,5.35,4021981.874,0.00035,14.2,0.099
46.0,0.301,920.0,22.7,9.0,1947.4,37.5,37.5,37.5,37.5,846.6,846.6,846.6,846.6,34.8,5.41,4075091.597,0.00037,14.2,0.099
